State,Industry,Series.ID,Month,Turnover
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Apr,4.4
ACT,"Cafes, restaurants and catering services",A3349849A,1982 May,3.4
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Jun,3.6
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Jul,4
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Aug,3.6
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Sep,4.2
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Oct,4.8
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Nov,5.4
ACT,"Cafes, restaurants and catering services",A3349849A,1982 Dec,6.9
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Jan,3.8
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Feb,4.2
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Mar,4
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Apr,4.4
ACT,"Cafes, restaurants and catering services",A3349849A,1983 May,4.3
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Jun,4.3
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Jul,4.6
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Aug,4.9
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Sep,4.5
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Oct,5.5
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Nov,6.7
ACT,"Cafes, restaurants and catering services",A3349849A,1983 Dec,9.6
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Jan,3.8
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Feb,3.8
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Mar,4.4
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Apr,3.8
ACT,"Cafes, restaurants and catering services",A3349849A,1984 May,3.9
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Jun,4.1
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Jul,4.3
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Aug,4.8
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Sep,5
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Oct,5.3
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Nov,5.6
ACT,"Cafes, restaurants and catering services",A3349849A,1984 Dec,6.8
ACT,"Cafes, restaurants and catering services",A3349849A,1985 Jan,4.6
ACT,"Cafes, restaurants and catering services",A3349849A,1985 Feb,4.3
